foodid,Time,Date,DateFormat,DateTime,Month,Day,Count,Year,WeekDay,Season,Building Number,lat,lon,Room Number,Email Subject
96,10:27:41 PM,10/20/16,10/20/16,10/20/16 10:27 PM,Oct,20,1,2016,Thu,Autumn,6,42.35944444,71.09027778,104,"Cheese, bread, crackers, and soda"
97,12:26:39 PM,10/20/17,10/20/17,10/20/17 12:26 PM,Oct,20,1,2017,Fri,Autumn,2,42.35861111,71.09,131,2-131
98,2:59:57 PM,10/20/17,10/20/17,10/20/17 2:59 PM,Oct,20,1,2017,Fri,Autumn,E19,42.36194444,71.08777778,202,Free Indian chick peas with chutney_tomatoes_onions at E19-202
99,6:31:57 PM,10/20/17,10/20/17,10/20/17 6:31 PM,Oct,20,1,2017,Fri,Autumn,1,42.35805556,71.09194444,114,Pizza outside 1-114
100,12:14:33 PM,10/21/16,10/21/16,10/21/16 12:14 PM,Oct,21,1,2016,Fri,Autumn,11,42.35944444,71.09277778,4,Free food at Copytech _ 11-004
101,8:23:17 PM,10/21/16,10/21/16,10/21/16 8:23 PM,Oct,21,1,2016,Fri,Autumn,50,42.35916667,71.08805556,1,Trays of asian food inside Walker memorial 1st floor eom
102,11:40:57 AM,10/21/17,10/21/17,10/21/17 11:40 AM,Oct,21,1,2017,Sat,Autumn,2,42.35861111,71.09,131,Panera sandwiches and salad near 2-131 (building 14 mural)
103,2:43:43 PM,10/21/17,10/21/17,10/21/17 2:43 PM,Oct,21,1,2017,Sat,Autumn,w16,42.35805556,71.095,1,Salads @bbq pits
104,9:19:05 PM,10/21/17,10/21/17,10/21/17 9:19 PM,Oct,21,1,2017,Sat,Autumn,50,42.35916667,71.08805556,1,Bertuccis at walker memorial EOM
105,1:12:08 PM,10/22/16,10/22/16,10/22/16 1:12 PM,Oct,22,1,2016,Sat,Autumn,2,42.35861111,71.09,135,IHOP in 2-135
106,5:36:32 PM,10/22/16,10/22/16,10/22/16 5:36 PM,Oct,22,1,2016,Sat,Autumn,W20,42.35888889,71.09472222,208,leftovers outside of W20-208
