"shapeid","x","y"
"0","72.83548355052521","19.24913831186147"
"0","72.83885033051752","19.25138511963053"
"0","72.83684431133112","19.25441723731144"
"0","72.83592172694065","19.25661331087276"
"0","72.83605367793223","19.2601800094615"
"0","72.8365497813884","19.26324171268126"
"0","72.83919521655903","19.26598930261081"
"0","72.8423991874694","19.26704576810634"
"0","72.84634035296551","19.26641317813784"
"0","72.85041153198293","19.26951695937701"
"0","72.85416516080514","19.26956107612342"
"0","72.85702728268103","19.26942489301932"
"0","72.85721926962192","19.26840852369737"
"0","72.85919647492187","19.26758284523888"
"0","72.86117806759302","19.26641765396223"
"0","72.86260580225549","19.26660412749849"
"0","72.86349291287004","19.26712381224371"
"0","72.86476170575006","19.26578047418211"
"0","72.86618724455761","19.26613666485469"
"0","72.86603706984555","19.26392788923412"
"0","72.86857673655389","19.26107141155409"
"0","72.86982131645568","19.26159523254726"
"0","72.8700132116069","19.26057884050407"
"0","72.87251990668638","19.26026848675883"
"0","72.87466474695152","19.26029343486693"
"0","72.87681614788112","19.2598091181444"
"0","72.8784553528477","19.25745133850846"
"0","72.87918993618987","19.25593191093041"
"0","72.88099034917015","19.25493415040976"
"0","72.88153526557937","19.25426137454156"
"0","72.8851294799293","19.2527750237117"
"0","72.88747470886977","19.25110440053319"
"0","72.88928153963424","19.24959730370025"
"0","72.89357749441568","19.24913750951118"
"0","72.87815928664737","19.23877295393727"
"0","72.87120259410936","19.23767352274657"
"0","72.86834320615701","19.23764023645938"
"0","72.86762178256508","19.23814114580845"
"0","72.86494110486741","19.23810988805978"
"0","72.86459465958869","19.23725698924638"
"0","72.8624288928191","19.23714681819019"
"0","72.86092979005488","19.23903922401022"
"0","72.85891432552019","19.23939763601384"
"0","72.85907477625318","19.2373622643136"
"0","72.85733565763249","19.23708725343304"
"0","72.8546483977968","19.2375650803126"
"0","72.84955020086457","19.23788722175428"
"0","72.84211021406796","19.24302004154694"
"0","72.83790173883855","19.24704480473912"
"0","72.83548355052521","19.24913831186147"
"1","72.90273569605586","19.20115180117812"
"1","72.90249447127692","19.19684683261328"
"1","72.90166180410263","19.19562865079685"
"1","72.90109018346196","19.19388970516937"
"1","72.90061001180156","19.19162805600496"
"1","72.90039343453017","19.18530029203818"
"1","72.89975237683007","19.18569583692389"
"1","72.89906227460631","19.18661456690077"
"1","72.89845337928631","19.18781624290246"
"1","72.89737503287522","19.18925426431039"
"1","72.8958783213165","19.19024430583716"
"1","72.89375433764486","19.19054222855666"
"1","72.89201192851851","19.19084451285896"
"1","72.88996964933813","19.19138505892238"
"1","72.88758354887257","19.19228421381997"
"1","72.8826227864582","19.19224311072988"
"1","72.87922631765589","19.19256644971893"
"1","72.87704438090576","19.19242033572507"
"1","72.87555425636722","19.19288653155634"
"1","72.87440072102808","19.19355805638237"
"1","72.86765946247404","19.19347977927739"
"1","72.86715380423092","19.1932321713547"
"1","72.8648214145761","19.19324531231182"
"1","72.86451445605968","19.19074390092889"
"1","72.8632595065676","19.19072928175175"
"1","72.8621954219631","19.19103918040307"
"1","72.86104185505339","19.19171061725816"
"1","72.85996369867057","19.19310810275287"
"1","72.85999047031336","19.19431704277089"
"1","72.85655782191665","19.19415608112372"
"1","72.85550675523011","19.19345890275546"
"1","72.85363918101493","19.19359819923834"
"1","72.85357118377141","19.19557148817377"
"1","72.85420610766907","19.19565949568856"
"1","72.8540402558656","19.19863882556545"
"1","72.85107182745793","19.19864433742364"
"1","72.8507409909603","19.19473258264279"
"1","72.84688333891174","19.19464703136325"
"1","72.84704611621157","19.1951726780018"
"1","72.84539418382072","19.19503240937071"
"1","72.84504136531683","19.19607573151422"
"1","72.8443582782873","19.19643028590828"
