"shapeid","osm_id","access","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","covered","culvert","cutting","disused","embankment","foot","harbour","highway","historic","horse","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","oneway","operator","population","power","place","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower_type","tracktype","tunnel","water","waterway","wetland","width","wood","z_order","way_area","tags"
"0.0","48903704.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","rail","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35.0","0.0","""gauge""=>""1676"", ""usage""=>""main"", ""voltage""=>""25000"", ""frequency""=>""50"", ""electrified""=>""contact_line"", ""passenger_lines""=>""4"", ""railway:traffic_mode""=>""passenger"""
"0.1","48903704.0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","rail","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","35.0","0.0","""gauge""=>""1676"", ""usage""=>""main"", ""voltage""=>""25000"", ""frequency""=>""50"", ""electrified""=>""contact_line"", ""passenger_lines""=>""4"", ""railway:traffic_mode""=>""passenger"""
